id	db_id	x	y
3	49716879	-76.942549	38.869495
1518	49716887	-76.94255	38.868019
1519	49716899	-77.0477199	38.9096436
1520	49716904	-77.0477246	38.9092654
1521	49716909	-77.0483597	38.9092414
1522	49716912	-77.04255	38.925475
1523	49716928	-77.0447201	38.9240089
1524	49716932	-76.984587	38.857861
1525	49716936	-76.985191	38.857355
1526	49716938	-76.985402	38.857188
1527	49716950	-76.985753	38.856919
1528	49716962	-76.986995	38.85619
1529	49716978	-76.987643	38.855371
1530	49717014	-76.99261	38.855611
1531	49717024	-76.983666	38.86053
1532	49717030	-76.995934	38.85672
1533	49717073	-76.996075	38.856067
1534	49717226	-77.081729	38.95293
1535	49717245	-77.0766241	38.9667127
1536	49717262	-77.0767459	38.9673572
1537	49717288	-76.993248	38.857909
1538	49717340	-77.0003079	38.9346316
1539	49717362	-76.9987603	38.9342198
1540	49717370	-77.0487972	38.9085711
1541	49717372	-77.0493439	38.9085687
1542	49717383	-76.950089	38.88991
1543	49717396	-76.968962	38.872935
1544	49717397	-77.021469	38.958543
1545	49717411	-77.0207311	38.9585939
1546	49717419	-77.075918	38.914918
1547	49717453	-77.076825	38.914649
1548	49717477	-77.0466515	38.9023974
1549	49717490	-77.0007416	38.8649419
1550	49717494	-77.007157	38.942211
1551	49717595	-76.9382421	38.8724632
1552	49717599	-76.9387866	38.8719412
1553	49717600	-77.052257	38.956246
1554	49717606	-77.052505	38.956236
1555	49717612	-77.0239902	38.8828735
1556	49717801	-77.0206749	38.8823528
1557	49717851	-77.0170064	38.8624707
1558	49717852	-77.0170154	38.8627717
1559	49717859	-77.02117	38.959163
1560	49717876	-77.022446	38.959541
1561	49717906	-77.0238637	38.8178144
1562	49717910	-77.0241051	38.818038
1563	49717919	-76.9374879	38.9081058
1564	49717954	-77.0162904	38.9750154
1565	49717965	-76.9930229	38.8909391
1566	49717969	-76.9926491	38.890788
1567	49717971	-77.0198765	38.9280217
1568	49717975	-77.019292	38.928061
1569	49717981	-77.018826	38.928131
1570	49718001	-77.082954	38.906811
1571	49718005	-77.082409	38.906928
1572	49718006	-77.082359	38.906943
1573	49718011	-77.082003	38.907068
1574	49718038	-77.0010404	38.8267863
1575	49718049	-77.0319594	38.8766723
1576	49718053	-77.0332998	38.8776484
4	49718144	-77.110097	38.934548
1577	49718391	-77.0496399	38.9433662
1578	49718409	-76.996182	38.879731
